file,date,Label,ID_TUBE,Treatment,Landscape,Replicate,Size,Composition,indiv_per_frame,indiv_per_ul,bioarea_per_frame,bioarea_per_ul,major_mean,major_sd,minor_mean,minor_sd,gross_speed_mean,gross_speed_sd,net_speed_mean,net_speed_sd,sd_turning_mean,Rot,Spi,Ble,Pca,Col,Chi,Tet,Other
sample_00022,16-05-02,22,Chi2,monoculture,monoculture,2,10,Chi,358.488,10.42116279,33949.4328,986.9021163,22.85965195,7.157402055,16.54030558,5.303611098,205.3960417,108.0444753,126.8126387,122.4156752,0.689945873,0,0,0,0,0.029069767,6.416511628,3.949534884,0.026046512
sample_00023,16-05-02,23,Col1,monoculture,monoculture,1,10,Col,27.384,0.796046512,15242.904,443.1076744,75.7319748,8.658348057,37.69701235,3.248457603,473.7652462,115.8735755,344.0902564,156.8073897,0.242564103,0,0,0,0,0.796046512,0,0,0
sample_00024,16-05-02,24,Col2,monoculture,monoculture,2,10,Col,19.264,0.56,12885.7392,374.5854419,81.84806862,11.70324091,39.51409965,5.539612674,576.1880846,146.7747875,472.3619444,216.063535,0.215,0,0,0,0,0.56,0,0,0
sample_00025,16-05-02,25,Pca1,monoculture,monoculture,1,10,Pca,3.728,0.108372093,3240.8748,94.21147674,99.88143056,21.91815583,38.88902289,6.638870988,286.4049926,158.3679596,180.558,177.0609882,0.648,0.013953488,0,0,0.094418605,0,0,0,0
sample_00026,16-05-02,26,Pca2,monoculture,monoculture,2,10,Pca,5.816,0.169069767,7029.8928,204.3573488,125.3511744,29.06092427,47.50318766,10.83207463,620.5834881,270.2205343,520.3746154,273.4362753,0.493846154,0.003255814,0,0,0.165813953,0,0,0,0
sample_00027,16-05-02,27,Rot1,monoculture,monoculture,1,10,Rot,22.384,0.650697674,15847.1316,460.6724302,72.10880403,26.57893051,34.04137444,11.78337299,169.6164584,40.52775726,75.58131148,55.52443476,1.015409836,0.608139535,0,0,0.03372093,0,0,0,0.008837209
sample_00028,16-05-02,28,Rot2,monoculture,monoculture,2,10,Rot,28.832,0.838139535,18271.0404,531.1348953,72.48833767,27.83268289,32.90814833,11.57669633,166.4775191,43.19716513,57.5712987,47.19263506,1.135064935,0.809302326,0,0,0.006046512,0,0.005348837,0,0.01744186
sample_00029,16-05-02,29,Ble1,monoculture,monoculture,1,10,Ble,256.976,7.470232558,41994.4824,1220.769837,27.44164815,23.09593604,18.03931778,8.967969715,184.9120935,61.19625016,134.700982,76.61903278,0.595971944,0,0.026046512,0.363255814,0,0,5.842325581,1.219069767,0.019534884
sample_00030,16-05-02,30,Ble2,monoculture,monoculture,2,10,Ble,247.728,7.201395349,41896.9908,1217.935779,27.02711294,24.78540176,17.48810323,10.75968753,161.691628,67.91484302,92.312,77.30437288,0.763733333,0.029069767,0,0.33,0,0.003023256,6.064651163,0.756744186,0.017906977
sample_00031,16-05-02,31,Spi1,monoculture,monoculture,1,10,Spi,22.848,0.664186047,51637.338,1501.085407,218.3832897,99.30081218,40.52371804,12.91626939,278.2190933,99.47730429,178.8012727,112.2387457,0.540545455,0.005116279,0.649302326,0,0,0,0.002790698,0.00372093,0.003255814
sample_00032,16-05-02,32,Spi2,monoculture,monoculture,2,10,Spi,21.36,0.620930233,49796.4348,1447.570779,237.6362308,84.23425072,42.61485285,8.874608044,325.7586813,112.4823321,228.0803922,127.6448232,0.476862745,0.014651163,0.596046512,0,0,0,0.010232558,0,0
sample_00217,5/9/2016,217,217bA,Isolated,Blue,A,7.5,mixture,90.144,2.620465116,43186.0896,1255.409581,54.72925423,48.02395669,27.49017763,12.73968686,199.1088339,143.2940657,113.2078218,145.479364,0.648514851,0.372790698,0.049767442,0.214418605,0.258604651,0.042093023,1.498372093,0.180930233,0.003488372
sample_00218,5/9/2016,218,218bA,Isolated,Blue,A,7.5,mixture,52.856,1.536511628,27002.484,784.9559302,51.40086024,46.26111911,25.94250433,14.13906675,182.044077,101.0543592,93.47823944,115.4642556,0.668661972,0.328372093,0.057209302,0.141860465,0.12744186,0.046511628,0.770697674,0.064418605,0
sample_00219,5/9/2016,219,219bA,Isolated,Blue,A,7.5,mixture,66.696,1.938837209,29533.3776,858.5284186,48.11742431,41.43865605,25.20273892,11.97788689,178.4184159,123.992529,91.1783237,131.7398109,0.756936416,0.406744186,0.131395349,0.081860465,0.108604651,0.105581395,1.036511628,0.051162791,0.016976744
sample_00220,5/9/2016,220,220bA,Isolated,Blue,A,7.5,mixture,85.8,2.494186047,34906.14,1014.713372,44.41378067,34.23980708,24.55173356,11.50602497,166.183157,91.7130332,71.4227897,103.0900658,0.681158798,0.574651163,0.079069767,0.115813953,0.130697674,0.026744186,1.362325581,0.161162791,0.04372093
sample_00221,5/9/2016,221,221bA,Isolated,Blue,A,7.5,mixture,69.672,2.025348837,36485.7696,1060.632837,56.43623647,58.11640802,25.47814221,13.45226815,180.2689553,99.81069911,82.65112821,110.2721326,0.686820513,0.45627907,0.193255814,0.058604651,0.118837209,0.023255814,1.156744186,0.018372093,0
